Job #,JOB NAME and MAP,State,Project type,Contractor,Pending Start Date,Finish Date,Gross Profit,GP %, CONTRACT AMOUNT , Actual To Date ,LEFT TO BILL, Mill / Misc. Days ,mill/misc dollar value ,, Curb Installation Days , Curb LF , Cubic Yards Curb ,curb dollar value,, Stone Base Days , Stone Base tons ,Stone Base Dollar Value,, Asphalt Paving Days , Asphalt Paving Tons ,Asphalt Paving dollar value,, Surface , Surface Dollar value ,, Field Events , Field Events Days , Cubic Yards FE Concrete ,FE Dollar Value,,,,,
26-011,Pine lake prep,NC,,Beynon,2026,,,30.00%,,,,2,,,11,,,,,5,,,,4,,,,No,,,No,,,,,lake wylie,15322,,"$19,500.00"
25-323,Madidson county,AL,,,2026,,,35%,,,,,,,,,,,,12,,,,2,,,,,,,,,,,,rome,16136,,"$25,800.00"
25-278,Lithia Springs,GA,,Sports turf,2027,,,35%,,,,6,,,,,,,,8,,,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending Jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gmc,16942,,"$24,750.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wilson,"$20,980",,"$25,250.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green ,"$3,232",,"$18,200.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gwc,"$4,038",,"$9,500.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,8874,,"$21,900.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buf,"$8,874",,"$14,000.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,westmin,4848,,"$21,900.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
