Asset ID / Name,Equipment,Current Jobsite,Date Arrived,Expected Release Date,Daily Cost Rate,Days on Site,Current Burn ($),Status,Source Vendor,Source Contract #,Branch,City,State,Ordered By,Week Rate,FourWeek Rate,Last Feed Date
182313352,Sunbelt Rentals,BUTLER HIGH,4/9/2026,4/10/2026,$71.00,$1.00,$71.00,On Rent,Sunbelt Rentals,182313352,27,MATTHEWS,NC,"BLAYLOCK, DAVID",$226.00,$495.00,2026-04-13
182170317,Sunbelt Rentals,LAKE WYLIE TRACK AND TENNIS,4/6/2026,4/10/2026,$135.00,$4.00,$540.00,On Rent,Sunbelt Rentals,182170317,720,YORK,SC,"EDMOND, LONNA",$350.00,$725.00,2026-04-13
182375965,Sunbelt Rentals,VETERAN SS,4/10/2026,,,$3.00,,On Rent,Sunbelt Rentals,182375965,86,KATHLEEN,GA,"EDMOND, LONNA",,,2026-04-13
182433387,Sunbelt Rentals,NEW PIKE ROAD HIGH SCHOOL,4/10/2026,,$155.00,$2.00,$310.00,On Rent,Sunbelt Rentals,182433387,257,PIKE ROAD,AL,"EDMOND, LONNA",$400.00,"$1,095.00",2026-04-12
182395230,Sunbelt Rentals,BUTLER HIGH,4/10/2026,,$305.00,,,On Rent,Sunbelt Rentals,182395230,27,MATTHEWS,NC,"BLAYLOCK, DAVID",$865.00,"$1,995.00",2026-04-10
182231873,Sunbelt Rentals,FLINT HILL MIDDLE,4/7/2026,,,$3.00,,On Rent,Sunbelt Rentals,182231873,720,FORT MILL,SC,"EDMOND, LONNA",,,2026-04-10
181288377,Sunbelt Rentals,SUNBELT SPORTS INC.,3/16/2026,4/9/2026,$400.00,$24.00,"$9,600.00",On Rent,Sunbelt Rentals,181288377,4,BRASELTON,GA,"EDMOND, LONNA","$1,000.00","$2,150.00",2026-04-10
181918922,Sunbelt Rentals,ROME MIDDLE SCHOOL,3/31/2026,4/2/2026,$405.00,$2.00,$810.00,On Rent,Sunbelt Rentals,181918922,1890,ROME,GA,"EDMOND, LONNA","$1,260.00","$2,715.00",2026-04-03
182049100,Sunbelt Rentals,CHATEAU ELAN,4/2/2026,,$107.00,,,On Rent,Sunbelt Rentals,182049100,1301,BRASELTON,GA,"BLAYLOCK, DAVID",$334.00,$878.00,2026-04-02
